Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
BMW,340i,COMPACT,3.0,6,M6,Z,11.6,7.8,9.9,29,231
CHEVROLET,TRAX,SUV - SMALL,1.4,4,AS6,X,9.3,7.2,8.3,34,194
CHEVROLET,SILVERADO 4WD FFV,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.0,10.7,13.1,22,307
JAGUAR,XF 20d AWD,MID-SIZE,2.0,4,AS8,D,7.8,5.8,6.9,41,186
FORD,Transit Connect Wagon LWB FFV,SPECIAL PURPOSE VEHICLE,2.0,4,AS8,E,13.7,11.1,12.5,23,208
GMC,Sierra 4WD,PICKUP TRUCK - STANDARD,5.3,8,A8,X,14.7,10.8,13.0,22,304
SUBARU,Crosstrek AWD,SUV - SMALL,2.0,4,M6,X,10.5,8.1,9.4,30,220
SUBARU,WRX AWD,COMPACT,2.0,4,M6,Z,11.3,8.5,10.0,28,235
CHEVROLET,Tahoe FFV,SUV - STANDARD,5.3,8,A6,E,21.2,13.9,17.9,16,298
MASERATI,GRANTURISMO,SUBCOMPACT,4.7,8,AS6,Z,18.2,11.4,15.1,19,355
PORSCHE,MACAN S,SUV - SMALL,3.0,6,A7,Z,13.7,10.3,12.2,23,281
PORSCHE,PANAMERA S,FULL-SIZE,3.0,6,AM7,Z,13.4,8.8,11.3,25,260
CHEVROLET,Colorado ZR2 4WD,PICKUP TRUCK - SMALL,2.8,4,A6,D,13.3,10.6,12.1,23,326
BMW,X5 M,SUV - STANDARD,4.4,8,AS8,Z,16.6,12.1,14.6,19,341
MERCEDES-BENZ,AMG C 63 S Coupe,SUBCOMPACT,4.0,8,A9,Z,13.9,9.2,11.8,24,277
VOLKSWAGEN,Beetle Dune Convertible,SUBCOMPACT,2.0,4,AS6,X,9.1,6.9,8.1,35,189
RAM,1500,PICKUP TRUCK - STANDARD,5.7,8,A8,X,15.7,11.0,13.6,21,319
HONDA,CIVIC HATCHBACK,FULL-SIZE,1.5,4,AV7,Z,7.9,6.6,7.3,39,170
FORD,F-150 4X4 (LT Tire Pkg),PICKUP TRUCK - STANDARD,2.7,6,AS6,X,13.5,11.2,12.5,23,293
BMW,550i xDRIVE GRAN TURISMO,FULL-SIZE,4.4,8,AS8,Z,14.3,9.3,12.1,23,283
DODGE,DURANGO AWD FFV,SUV - STANDARD,3.6,6,A8,E,17.7,13.0,15.6,18,250
BMW,M6 CABRIOLET,SUBCOMPACT,4.4,8,AM7,Z,17.3,11.5,14.7,19,338
GMC,YUKON XL 4WD,SUV - STANDARD,5.3,8,A6,X,16.0,11.1,13.8,20,317
AUDI,TT Coupe quattro,SUBCOMPACT,2.0,4,AM7,X,10.3,7.7,9.2,31,213
JAGUAR,XFR,MID-SIZE,5.0,8,AS8,E,21.3,14.1,18.1,16,290
DODGE,AVENGER,MID-SIZE,2.4,4,A4,X,11.2,8.0,9.8,29,225
GMC,Sierra,PICKUP TRUCK - STANDARD,5.3,8,A6,X,15.9,11.4,13.9,20,326
VOLVO,S60 T6 AWD,COMPACT,2.0,4,AS8,Z,10.9,7.7,9.4,30,221
GENESIS,G80 AWD,FULL-SIZE,3.8,6,AS8,X,13.4,9.6,11.7,24,276
SCION,xB,STATION WAGON - SMALL,2.4,4,M5,X,10.9,8.6,9.9,29,228
CHRYSLER,200 FFV,MID-SIZE,2.4,4,A9,E,13.9,8.9,11.7,24,192
TOYOTA,RAV4 HYBRID AWD,SUV - SMALL,2.5,4,AV6,X,6.9,7.8,7.3,39,171
GMC,SAVANA 1500 CARGO CONV,VAN - CARGO,5.3,8,A4,X,18.6,13.9,16.5,17,380
CHRYSLER,200 AWD FFV,MID-SIZE,3.6,6,A9,X,12.8,8.1,10.7,26,246
NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,4.0,6,M6,X,14.8,11.0,13.1,22,301
MERCEDES-BENZ,GL 550 4MATIC,SUV - STANDARD,4.7,8,AS7,Z,17.5,13.2,15.6,18,359
LEXUS,CT 200h,COMPACT,1.8,4,AV,X,5.5,5.9,5.7,50,132
SUBARU,WRX,COMPACT,2.0,4,AV8,Z,12.5,9.5,11.2,25,254
FIAT,500L,STATION WAGON - SMALL,1.4,4,AM6,X,9.9,7.2,8.7,32,200
LINCOLN,Continental AWD,FULL-SIZE,2.7,6,AS6,X,14.0,9.5,12.0,24,281
FORD,FIESTA,SUBCOMPACT,1.6,4,AS6,X,8.7,6.4,7.6,37,175
BMW,335i xDRIVE SEDAN,COMPACT,3.0,6,AS8,Z,11.9,7.8,10.0,28,230
HYUNDAI,Accent,COMPACT,1.6,4,AS6,X,8.2,6.2,7.3,39,172
FORD,Escape,SUV - SMALL,1.5,3,A8,X,8.6,7.1,7.9,36,185
DODGE,CHARGER (MDS),FULL-SIZE,6.4,8,A8,Z,15.6,9.6,12.9,22,302
SUBARU,XV CROSSTREK HYBRID AWD,SUV - SMALL,2.0,4,AV6,X,7.9,6.9,7.5,38,173
HONDA,CIVIC COUPE,COMPACT,1.5,4,M6,X,7.7,5.7,6.8,42,158
MAZDA,MAZDA3 4-DOOR,COMPACT,2.0,4,AS6,X,8.4,6.4,7.5,38,176
MERCEDES-BENZ,AMG C 43 4MATIC,COMPACT,3.0,6,A9,Z,11.8,8.8,10.4,27,244
CHRYSLER,200 SEDAN,MID-SIZE,2.4,4,A4,X,11.2,8.0,9.8,29,225
LAND ROVER,Discovery,SUV - STANDARD,3.0,6,AS8,Z,14.8,11.4,13.3,21,311
BMW,M6,COMPACT,4.4,8,M6,Z,16.1,10.9,13.7,21,321
TOYOTA,COROLLA LE ECO (2-mode),MID-SIZE,1.8,4,AV,X,8.0,6.3,7.2,39,168
GMC,YUKON FFV,SUV - STANDARD,5.3,8,A6,X,15.1,10.4,13.0,22,305
AUDI,Q3,COMPACT,2.0,4,AS6,Z,11.6,8.3,10.1,28,236
RAM,1500 4X4 eTorque,PICKUP TRUCK - STANDARD,3.6,6,A8,X,12.2,9.7,11.1,25,260
SUBARU,CROSSTREK AWD,SUV - SMALL,2.0,4,AV6,X,9.1,7.2,8.2,34,193
TOYOTA,COROLLA,MID-SIZE,1.8,4,AV7,X,7.9,6.1,7.1,40,166
HONDA,HR-V,STATION WAGON - SMALL,1.8,4,AV,X,8.3,6.9,7.7,37,180
AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,M6,Z,10.6,7.3,9.1,31,209
MITSUBISHI,LANCER,COMPACT,2.0,4,AV6,X,8.6,6.8,7.8,36,181
CHEVROLET,Colorado 4WD,PICKUP TRUCK - SMALL,2.8,4,A6,D,12.2,8.4,10.5,27,283
GMC,Sierra,PICKUP TRUCK - STANDARD,2.7,4,A8,X,11.9,10.3,11.1,25,262
MITSUBISHI,RVR,SUV - SMALL,2.0,4,M5,X,10.3,8.2,9.3,30,216
BMW,440i xDrive Cabriolet,SUBCOMPACT,3.0,6,AS8,Z,12.4,8.5,10.7,26,249
PORSCHE,PANAMERA 4S EXECUTIVE,FULL-SIZE,2.9,6,AM8,Z,11.3,8.5,10.1,28,235
JEEP,COMPASS,SUV - SMALL,2.0,4,AV,X,10.7,8.8,9.9,29,228
AUDI,S5,SUBCOMPACT,3.0,6,M6,Z,14.6,9.8,12.4,23,285
BMW,320i,COMPACT,2.0,4,AS8,Z,10.0,6.5,8.4,34,200
MINI,COOPER CONVERTIBLE,MINICOMPACT,1.6,4,M6,Z,8.6,6.8,7.8,36,179
INFINITI,Q50 AWD,MID-SIZE,3.0,6,AS7,Z,12.5,8.7,10.8,26,254
PORSCHE,911 TARGA 4S,MINICOMPACT,3.0,6,M7,Z,12.2,8.5,10.5,27,246
PORSCHE,911 Carrera 4 GTS Cabriolet,MINICOMPACT,3.0,6,AM7,Z,11.9,9.3,10.7,26,250
ACURA,MDX HYBRID AWD,SUV - SMALL,3.0,6,AM7,Z,9.1,9.0,9.0,31,210
VOLKSWAGEN,TIGUAN,SUV - SMALL,2.0,4,AS6,Z,11.5,9.3,10.5,27,242
CHEVROLET,Colorado,PICKUP TRUCK - SMALL,2.8,4,A6,D,11.8,7.9,10.1,28,270
JAGUAR,XFR-S,MID-SIZE,5.0,8,AS8,Z,15.7,10.3,13.2,21,304
CHEVROLET,SONIC,COMPACT,1.4,4,AS6,X,9.0,6.8,8.0,35,184
MAZDA,CX-5 4WD,SUV - SMALL,2.0,4,AS6,X,9.3,7.6,8.5,33,196
BMW,428i xDRIVE GRAN COUPE,COMPACT,2.0,4,AS8,Z,10.6,7.2,9.1,31,209
FIAT,500 ABARTH CABRIO,MINICOMPACT,1.4,4,M5,X,8.5,7.1,7.9,36,186
FORD,EcoSport,SUV - SMALL,1.0,3,AS6,X,8.6,8.1,8.4,34,197
BMW,230i COUPE,SUBCOMPACT,2.0,4,M6,Z,11.1,7.3,9.4,30,219
MERCEDES-BENZ,GL 350 BLUETEC 4MATIC,SUV - STANDARD,3.0,6,AS7,D,13.6,10.0,12.0,24,322
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,3.5,6,AS6,X,13.2,10.7,12.1,23,283
INFINITI,QX60,SUV - SMALL,3.5,6,AV7,Z,11.9,8.8,10.5,27,246
NISSAN,370Z Roadster,TWO-SEATER,3.7,6,M6,Z,13.6,9.7,11.8,24,279
CADILLAC,SRX AWD,SUV - STANDARD,3.6,6,AS6,X,14.8,10.4,12.8,22,294
FIAT,500 HATCHBACK TURBO,MINICOMPACT,1.4,4,A6,X,9.6,7.3,8.6,33,200
MERCEDES-BENZ,S 550 4MATIC SWB,MID-SIZE,4.7,8,AS7,Z,14.7,9.1,12.2,23,281
CHEVROLET,TRAX 4WD,SUV - SMALL,1.4,4,AS6,X,9.9,7.8,8.9,32,210
FORD,MUSTANG,SUBCOMPACT,5.8,8,M6,Z,15.9,9.9,13.2,21,304
MERCEDES-BENZ,E 400 4MATIC,MID-SIZE,3.0,6,A9,Z,11.8,8.7,10.4,27,246
JAGUAR,XFR,MID-SIZE,5.0,8,AS8,E,21.3,14.1,18.1,16,290
DODGE,CHALLENGER SRT HELLCAT,MID-SIZE,6.2,8,A8,Z,18.0,10.7,14.7,19,338
BMW,M4 Coupe Competition,COMPACT,3.0,6,M6,Z,13.4,9.6,11.7,24,273
GENESIS,G80 AWD,FULL-SIZE,3.3,6,AS8,Z,13.8,9.7,11.9,24,282
BMW,Z4 sDRIVE35i,TWO-SEATER,3.0,6,AM7,Z,13.7,10.0,12.1,23,282
MERCEDES-BENZ,S 550 4MATIC LWB,FULL-SIZE,4.7,8,A9,Z,14.3,9.2,12.0,24,280
KIA,FORTE,MID-SIZE,2.0,4,M6,X,9.4,6.8,8.3,34,195
GMC,SAVANA 1500 PASSENGER,VAN - PASSENGER,5.3,8,A4,X,18.6,13.9,16.5,17,380
CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,4.3,6,A6,X,13.4,10.0,11.9,24,279
KIA,SOUL,STATION WAGON - SMALL,1.6,4,AS6,X,9.4,7.8,8.7,32,205
MINI,JOHN COOPER WORKS CONVERTIBLE,MINICOMPACT,1.6,4,AS6,Z,9.2,6.8,8.1,35,186
CADILLAC,ATS,COMPACT,2.0,4,M6,Z,11.8,8.0,10.1,28,236
SUBARU,OUTBACK AWD,SUV - SMALL,2.5,4,AV6,X,9.3,7.1,8.3,34,196
MASERATI,GHIBLI AWD,MID-SIZE,3.0,6,AS8,Z,15.2,9.6,12.7,22,292
MINI,COOPER COUPE,TWO-SEATER,1.6,4,AS6,Z,8.5,6.5,7.6,37,175
BMW,535i xDRIVE,MID-SIZE,3.0,6,AS8,Z,11.9,8.1,10.2,28,238
BMW,430i xDRIVE GRAN COUPE,COMPACT,2.0,4,AS8,Z,10.2,7.2,8.9,32,208
CADILLAC,ESCALADE ESV AWD,SUV - STANDARD,6.2,8,A6,Z,18.8,13.4,16.4,17,377
JEEP,PATRIOT 4X4,SUV - SMALL,2.4,4,AV,X,11.7,10.3,11.1,25,259
MINI,COOPER ROADSTER,TWO-SEATER,1.6,4,A6,Z,8.7,6.6,7.8,36,179
BMW,X5 xDrive40i,SUV - STANDARD,3.0,6,AS8,Z,11.7,9.1,10.5,27,245
LEXUS,IS 350,COMPACT,3.5,6,AS8,Z,12.3,8.5,10.6,27,244
PORSCHE,911 GT3,TWO-SEATER,4.0,6,AM7,Z,15.8,11.6,13.9,20,324
JEEP,RENEGADE 4X4,SUV - SMALL,1.4,4,M6,X,9.9,7.7,8.9,32,211
AUDI,A4 QUATTRO,COMPACT,2.0,4,M6,Z,10.6,7.3,9.1,31,214
BMW,X5 M,SUV - STANDARD,4.4,8,AS8,Z,16.6,12.1,14.6,19,343
MINI,JOHN COOPER WORKS PACEMAN ALL4,COMPACT,1.6,4,AS6,Z,10.1,7.7,9.0,31,212
FORD,TAURUS,FULL-SIZE,2.0,4,AS6,X,11.8,8.1,10.1,28,238
LINCOLN,Navigator 4X4,SUV - STANDARD,3.5,6,AS10,X,15.0,11.5,13.4,21,315
RAM,PROMASTER CITY,SPECIAL PURPOSE VEHICLE,2.4,4,A9,X,11.2,8.3,9.9,29,232
INFINITI,Q60 AWD COUPE,SUBCOMPACT,3.7,6,AS7,Z,13.3,9.4,11.5,25,265
DODGE,Charger (MDS),FULL-SIZE,6.4,8,A8,Z,15.8,9.6,13.0,22,304
GMC,Sierra 4WD,PICKUP TRUCK - STANDARD,6.2,8,A10,Z,15.5,11.9,13.9,20,326
MERCEDES-BENZ,G 550,SUV - STANDARD,4.0,8,A9,Z,18.0,14.1,16.3,17,378
MAZDA,MAZDA3 4-DOOR (i-ELOOP),COMPACT,2.5,4,AS6,X,8.3,6.1,7.3,39,168
TOYOTA,CAMRY,MID-SIZE,2.5,4,AS8,X,8.1,5.7,6.9,41,164
JEEP,RENEGADE,SUV - SMALL,1.4,4,M6,X,9.9,7.5,8.8,32,202
JAGUAR,XJL AWD PORTFOLIO,FULL-SIZE,3.0,6,AS8,Z,14.7,9.6,12.4,23,285
MERCEDES-BENZ,Metris Passenger,SPECIAL PURPOSE VEHICLE,2.0,4,A7,Z,12.3,10.3,11.4,25,268
RAM,1500 4X4 (MDS),PICKUP TRUCK - STANDARD,5.7,8,A6,X,17.7,12.7,15.4,18,362
CHEVROLET,TRAX AWD,SUV - SMALL,1.4,4,AS6,X,9.7,7.6,8.7,32,200
MERCEDES-BENZ,AMG C 63 S Cabriolet,SUBCOMPACT,4.0,8,A9,Z,13.9,9.7,12.0,24,282
HYUNDAI,Kona AWD,SUV - SMALL,1.6,4,AM7,X,9.0,8.0,8.6,33,201
PORSCHE,PANAMERA 4,FULL-SIZE,3.6,6,AM7,Z,13.1,8.7,11.1,25,255
TOYOTA,CAMRY HYBRID LE,MID-SIZE,2.5,4,AV,X,5.5,6.0,5.7,50,134
FIAT,500 CABRIO,MINICOMPACT,1.4,4,M5,X,7.9,6.3,7.2,39,166
KIA,SEDONA SXL,MINIVAN,3.3,6,AS6,X,14.1,10.5,12.5,23,296
NISSAN,370Z,TWO-SEATER,3.7,6,AS7,Z,12.6,9.3,11.1,25,261
FORD,FOCUS,COMPACT,1.0,3,AS6,X,8.5,6.2,7.5,38,176
LINCOLN,MKC AWD (Start/Stop),SUV - SMALL,2.0,4,AS6,X,12.1,9.3,10.8,26,254
AUDI,A6 quattro,MID-SIZE,3.0,6,AM7,Z,10.7,8.2,9.6,29,224
FORD,C-MAX HYBRID,FULL-SIZE,2.0,4,AV,X,5.7,6.2,5.9,48,138
LINCOLN,MKZ HYBRID,MID-SIZE,2.0,4,AV,X,5.7,6.2,5.9,48,139
KIA,SPORTAGE AWD,SUV - SMALL,2.4,4,AS6,X,11.3,9.5,10.5,27,247
RAM,CARGO VAN FFV,MINIVAN,3.6,6,A6,E,18.6,12.7,15.9,18,254
HYUNDAI,SANTA FE SPORT AWD,SUV - SMALL,2.0,4,AS6,X,12.9,9.7,11.5,25,266
NISSAN,FRONTIER 4WD,PICKUP TRUCK - SMALL,4.0,6,M6,X,15.0,11.2,13.3,21,306
JEEP,PATRIOT,SUV - SMALL,2.0,4,AV,X,10.8,8.9,10.0,28,234
ASTON MARTIN,V8 VANTAGE,TWO-SEATER,4.7,8,AM7,Z,17.4,11.3,14.7,19,338
CHEVROLET,Camaro,SUBCOMPACT,3.6,6,M6,X,14.3,9.0,11.9,24,280
DODGE,DART,MID-SIZE,2.4,4,A6,X,10.1,6.8,8.6,33,198
NISSAN,370Z Roadster,TWO-SEATER,3.7,6,M6,Z,13.6,9.7,11.8,24,279
NISSAN,SENTRA,MID-SIZE,1.8,4,M6,X,8.9,6.8,8.0,35,187
BMW,320i SEDAN,COMPACT,2.0,4,AS8,Z,10.0,6.5,8.4,34,193
LAND ROVER,Range Rover 5.0 Supercharged,SUV - STANDARD,5.0,8,AS8,Z,14.4,11.2,12.9,22,305
VOLVO,XC40 T4 AWD,SUV - SMALL,2.0,4,AS8,X,10.2,7.5,9.0,31,210
CHEVROLET,SILVERADO FFV,PICKUP TRUCK - STANDARD,4.3,6,A6,X,13.5,10.0,11.9,24,280
LEXUS,IS 300 AWD,COMPACT,3.5,6,AS6,Z,12.6,9.2,11.0,26,258
CHEVROLET,SUBURBAN 4WD,SUV - STANDARD,5.3,8,A6,E,22.1,15.4,19.1,15,306
FORD,FUSION AWD,MID-SIZE,2.0,4,AS6,X,10.9,7.5,9.4,30,216
BMW,ALPINA B6 xDRIVE GRAN COUPE,COMPACT,4.4,8,AS8,Z,15.2,9.8,12.8,22,294
HYUNDAI,SANTA FE SPORT,SUV - SMALL,2.4,4,AS6,X,11.1,8.6,10.0,28,235
JAGUAR,F-TYPE Coupe R-Dynamic,TWO-SEATER,3.0,6,M6,Z,15.3,10.0,12.9,22,302
MINI,Cooper 5 Door,SUBCOMPACT,1.5,3,AS6,Z,8.8,6.8,7.9,36,184
FIAT,500,MINICOMPACT,1.4,4,M5,X,8.5,7.1,7.9,36,186
MAZDA,Mazda3 4-Door 4WD,COMPACT,2.5,4,AS6,X,9.2,7.0,8.2,34,192
FORD,MUSTANG,SUBCOMPACT,5.0,8,AS6,X,14.9,9.5,12.4,23,292
BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,AS8,Z,10.6,7.2,9.1,31,209
TOYOTA,Corolla Hatchback,COMPACT,2.0,4,M6,X,8.4,6.3,7.5,38,174
LAND ROVER,Range Rover SVAutobiography LWB,SUV - STANDARD,5.0,8,AS8,Z,17.9,12.7,15.5,18,365
TOYOTA,SIENNA,MINIVAN,3.5,6,AS8,X,12.5,8.9,10.9,26,255
VOLKSWAGEN,BEETLE DUNE,COMPACT,2.0,4,AS6,X,9.1,6.9,8.1,35,189
VOLKSWAGEN,GOLF R,COMPACT,2.0,4,M6,Z,10.9,7.7,9.4,30,220
DODGE,Charger AWD,FULL-SIZE,3.6,6,A8,X,12.8,8.7,11.0,26,258
CHEVROLET,EXPRESS 2500 PASSENGER,VAN - PASSENGER,6.0,8,A6,X,22.0,14.9,18.8,15,432
ACURA,RLX Hybrid,MID-SIZE,3.5,6,AM7,Z,8.4,8.2,8.4,34,196
SUBARU,OUTBACK AWD,SUV - SMALL,3.6,6,AV6,X,12.0,8.6,10.5,27,242
PORSCHE,911 Targa 4,MINICOMPACT,3.0,6,AM7,Z,10.9,8.4,9.8,29,228
CHEVROLET,SONIC 5,STATION WAGON - SMALL,1.4,4,M6,X,8.5,6.2,7.5,38,175
PORSCHE,911 TURBO S EXCLUSIVE,MINICOMPACT,3.8,6,AM7,Z,13.8,10.3,12.3,23,285
CHEVROLET,Silverado 4WD,PICKUP TRUCK - STANDARD,6.2,8,A10,Z,15.0,12.0,13.7,21,321
FORD,EXPLORER FFV,SUV - STANDARD,3.5,6,AS6,E,18.7,12.9,16.1,18,264
TOYOTA,YARIS HATCHBACK,COMPACT,1.5,4,A4,X,7.8,6.6,7.3,39,170
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8,A6,X,16.8,12.6,14.9,19,343
FORD,EXPLORER,SUV - STANDARD,2.3,4,AS6,X,12.6,8.6,10.8,26,254
VOLKSWAGEN,CC,COMPACT,2.0,4,M6,Z,11.6,7.7,9.8,29,225
FORD,F-150 4X4,PICKUP TRUCK - STANDARD,5.0,8,AS10,X,14.6,10.9,13.0,22,304
KIA,K900,FULL-SIZE,3.8,6,AS8,X,13.8,9.3,11.8,24,279
CHRYSLER,300 AWD,FULL-SIZE,3.6,6,A8,X,12.8,8.7,11.0,26,258
HONDA,Pilot AWD,SUV - SMALL,3.5,6,AS9,X,12.4,9.3,11.0,26,257
HYUNDAI,Elantra GT,FULL-SIZE,2.0,4,M6,X,9.8,7.4,8.7,32,207
PORSCHE,PANAMERA,FULL-SIZE,3.6,6,AM7,Z,12.9,8.4,10.9,26,255
ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Z,12.4,8.6,10.7,26,249
TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,5.7,8,AS6,X,17.6,12.9,15.5,18,356
FORD,F-150 FFV (Payload Pkg),PICKUP TRUCK - STANDARD,5.0,8,AS10,E,19.9,15.8,18.0,16,300
ROLLS-ROYCE,PHANTOM DROPHEAD COUPE,COMPACT,6.7,12,A8,Z,20.7,12.7,17.1,17,393
